gender,age,class,country,survived
male,42,3rd,United States,no
male,13,3rd,United States,no
male,16,3rd,United States,no
female,39,3rd,England,yes
female,16,3rd,Norway,yes
male,25,3rd,United States,yes
male,30,2nd,France,no
female,28,2nd,France,yes
male,27,3rd,Lebanon,yes
male,20,3rd,Finland,yes
male,30,3rd,Sweden,no
male,27,3rd,England,no
female,40,3rd,Sweden,no
male,0.833333333,3rd,England,yes
female,18,3rd,England,yes
male,35,2nd,England,no
male,25,3rd,England,no
male,19,3rd,Finland,no
male,24,3rd,Argentina,no
male,25,3rd,Argentina,no
female,29,1st,United States,yes
male,39,3rd,England,no
male,0.916666667,1st,Canada,yes
female,2,1st,Canada,no
male,30,1st,Canada,no
female,25,1st,United States,no
male,18,3rd,England,no
male,19,3rd,Lebanon,no
female,19,3rd,Denmark,yes
male,33,3rd,Norway,no
male,47,1st,United States,yes
male,4,3rd,Sweden,no
female,6,3rd,Sweden,no
female,2,3rd,Sweden,no
female,16,3rd,Finland,yes
female,38,3rd,Sweden,no
female,9,3rd,Sweden,no
female,11,3rd,Sweden,no
male,39,3rd,Sweden,no
male,26,3rd,Sweden,no
female,39,3rd,Sweden,no
male,20,3rd,Sweden,no
male,17,2nd,Argentina,no
male,27,2nd,England,no
female,62,1st,United States,yes
male,39,1st,Northern Ireland,no
male,26,3rd,Bulgaria,no
female,36,2nd,England,yes
male,31,2nd,England,no
female,53,1st,United States,yes
male,25,3rd,Switzerland,no
female,18,3rd,Switzerland,no
male,25,3rd,Sweden,no
male,71,1st,Argentina,no
male,57,2nd,England,no
male,35,3rd,Argentina,no
male,5,3rd,Sweden,no
male,9,3rd,Sweden,no
male,3,3rd,Sweden,yes
male,13,3rd,Sweden,no
female,5,3rd,Sweden,yes
male,40,3rd,Sweden,no
male,23,3rd,Sweden,yes
female,38,3rd,Sweden,yes
female,45,3rd,Lebanon,yes
male,23,3rd,Argentina,no
male,47,1st,United States,no
female,18,1st,United States,yes
female,17,3rd,Lebanon,no
male,27,3rd,Canada,no
female,24,1st,France,yes
male,23,3rd,Sweden,no
female,15,3rd,Lebanon,yes
male,32,3rd,Finland,no
female,33,3rd,Finland,yes
female,3,3rd,Lebanon,yes
female,0.75,3rd,Lebanon,yes
female,5,3rd,Lebanon,yes
female,23,3rd,Lebanon,yes
female,18,3rd,England,yes
male,40,3rd,Lebanon,no
male,18,2nd,England,no
male,22,2nd,Channel Islands,no
male,26,3rd,Bosnia,no
female,36,2nd,England,yes
male,28,2nd,England,no
female,31,3rd,Hungary,yes
female,18,3rd,Lebanon,no
female,45,3rd,Lebanon,no
male,47,1st,England,yes
female,30,3rd,Ireland,no
male,22,3rd,England,no
female,32,1st,Italy,yes
male,52,2nd,England,no
male,23,3rd,Bulgaria,no
male,60,1st,United States,no
male,24,1st,Canada,no
female,50,1st,Canada,yes
male,32,2nd,England,yes
female,22,2nd,England,yes
male,36,1st,Canada,no
male,44,2nd,England,no
male,20,3rd,England,no
male,1,2nd,India,yes
female,4,2nd,India,yes
female,12,2nd,India,yes
female,35,2nd,United States,yes
male,37,1st,United States,yes
female,46,1st,United States,yes
male,34,2nd,England,yes
male,26,1st,United States,yes
male,26,3rd,Sweden,no
female,19,2nd,United States,yes
male,22,3rd,Finland,no
male,23,2nd,England,no
female,39,1st,United States,yes
female,31,1st,England,yes
male,21,3rd,Norway,no
male,25,1st,United States,yes
female,19,1st,United States,yes
male,18,3rd,Sweden,no
male,28,1st,Sweden,yes
male,45,1st,United States,no
male,39,1st,United States,yes
female,30,1st,United States,yes
female,61,1st,England,yes
male,41,1st,England,no
male,25,2nd,United States,no
female,40,3rd,Ireland,no
male,42,3rd,Ireland,no
female,32,3rd,Ireland,no
female,45,1st,United States,yes
male,26,3rd,Wales,no
female,22,1st,England,yes
male,30,2nd,United States,no
female,22,3rd,Ireland,yes
male,41,1st,United States,no
female,20,3rd,Sweden,no
male,24,2nd,England,no
male,48,1st,United States,no
male,29,3rd,England,no
male,23,3rd,England,no
male,37,1st,United States,yes
male,46,1st,United States,no
male,20,2nd,France,no
male,22,3rd,Sweden,no
male,40,3rd,England,no
female,18,2nd,England,yes
female,15,2nd,South Africa,yes
female,59,1st,United States,yes
female,40,2nd,South Africa,yes
female,44,1st,United States,yes
male,60,2nd,South Africa,no
female,20,2nd,Sweden,yes
male,25,2nd,Sweden,no
female,22,3rd,Ireland,no
male,21,3rd,Ireland,yes
female,58,1st,India,yes
male,7,3rd,Lebanon,no
female,10,3rd,Lebanon,no
female,40,3rd,Lebanon,no
male,19,3rd,Ireland,no
female,17,3rd,Ireland,no
female,36,2nd,England,yes
male,26,2nd,England,no
male,21,3rd,Lebanon,no
male,46,1st,United States,no
male,42,2nd,England,no
female,40,2nd,United States,yes
female,21,3rd,Croatia (Modern),no
female,30,3rd,Croatia (Modern),no
male,18,3rd,Croatia (Modern),no
male,38,3rd,Croatia (Modern),no
male,28,1st,Scotland,no
male,42,1st,United States,yes
male,0.833333333,2nd,Siam,yes
male,26,2nd,Siam,yes
female,28,2nd,United States,yes
male,17,3rd,Croatia (Modern),no
male,17,3rd,Croatia (Modern),no
female,35,2nd,England,yes
male,21,2nd,Northern Ireland,no
female,22,3rd,Ireland,no
male,21,3rd,Ireland,no
female,52,1st,United States,yes
male,29,3rd,England,no
male,28,3rd,Canada,no
female,18,3rd,Lebanon,no
male,19,2nd,England,no
female,58,1st,United States,yes
male,36,1st,United States,yes
